PARÂMETROS
10;2;4;6
COORDENADAS
0;746;885
1;786;544
2;494;26
3;354;135
4;127;186
5;193;192
6;923;538
7;317;977
8;694;525
9;536;508
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9
0;0;343;895;846;933;886;389;438;363;431
1;343;0;594;594;749;689;137;638;93;252
2;895;594;0;177;400;343;667;967;537;483
3;846;594;177;0;232;170;697;842;517;415
4;933;749;400;232;0;66;870;813;660;520
5;886;689;343;170;66;0;807;794;601;466
6;389;137;667;697;870;807;0;748;229;388
7;438;638;967;842;813;794;748;0;588;517
8;363;93;537;517;660;601;229;588;0;158
9;431;252;483;415;520;466;388;517;158;0
